# HiSLIP header conformance vectors
#
# Written out by hand from IVI-6.1 revision 2.0, not generated by the code under
# test. A coding error in the codec therefore cannot be masked by the same error
# in the expectation.
#
# Format, whitespace separated, one record per line:
#
#   name  wire-hex  type  control  parameter  length
#
# wire-hex   the 16 header bytes as hex, or "-" for an empty byte string
# type       decimal message type, IVI-6.1 Table 4
# control    control code, decimal or 0x-prefixed hex
# parameter  message parameter, decimal or 0x-prefixed hex
# length     payload length, decimal or 0x-prefixed hex
#
# The wire bytes and the decoded fields are deliberately redundant. Checking one
# against the other in both directions is the test.
#
# Text after "#" is a comment. Blank lines are ignored.

# --- initialization ------------------------------------------------------
# Initialize: client version 1.0, vendor ID "GT", sub-address "hislip0".
initialize                48530000010047540000000000000007  0   0x00  0x01004754  7

# InitializeResponse: negotiated version 1.0, session ID 0x1234. Control code 0
# means the server prefers Synchronized Mode.
initialize-response       48530100010012340000000000000000  1   0x00  0x01001234  0

# InitializeResponse from a 2.0 server that prefers Overlap Mode.
initialize-response-2.0   48530101020012340000000000000000  1   0x01  0x02001234  0

# AsyncInitialize: session ID 0x1234 in the lower word.
async-initialize          48531100000012340000000000000000  17  0x00  0x00001234  0

# --- data transfer -------------------------------------------------------
# DataEnd carrying the initial MessageID with RMT-delivered set, 4 payload bytes.
data-end                  48530701ffffff000000000000000004  7   0x01  0xffffff00  4

# Data carrying 0xffffffff, which a server sends when it cannot identify the
# client message that produced the response. See IVI-6.1 section 3.1.1.
data-no-messageid         48530600ffffffff0000000000000008  6   0x00  0xffffffff  8

# Trigger is a synchronous-channel message and takes a MessageID from the same
# counter as Data and DataEnd.
trigger                   48530c01ffffff020000000000000000  12  0x01  0xffffff02  0

# A maximal payload length, to confirm the 64-bit field is decoded whole and is
# neither truncated nor sign extended.
max-length                4853060000000000ffffffffffffffff  6   0x00  0x00000000  0xffffffffffffffff

# --- status and service request ------------------------------------------
# AsyncStatusQuery issued after initialization, before any Data, DataEnd or
# Trigger has been sent: MessageID is 0xffffff00-2. RMT-delivered set.
async-status-query-init   48531501fffffefe0000000000000000  21  0x01  0xfffffefe  0

# AsyncStatusResponse: the status byte travels in the control code, not the
# payload.
async-status-response     48531650000000000000000000000000  22  0x50  0x00000000  0

# AsyncServiceRequest: status byte in the control code, never acknowledged.
async-service-request     48531440000000000000000000000000  20  0x40  0x00000000  0

# --- device clear --------------------------------------------------------
async-device-clear        48531300000000000000000000000000  19  0x00  0x00000000  0

# AsyncDeviceClearAcknowledge carrying the server's preferred feature bitmap.
# Bit 0 clear means Synchronized Mode is preferred.
async-dev-clear-ack       48531700000000000000000000000000  23  0x00  0x00000000  0

# DeviceClearComplete carrying the client's requested feature bitmap.
device-clear-complete     48530800000000000000000000000000  8   0x00  0x00000000  0

# DeviceClearAcknowledge carrying the agreed feature bitmap. Treated as a
# synchronous-channel message; see the design specification §4.4.
device-clear-ack          48530900000000000000000000000000  9   0x00  0x00000000  0

# --- errors --------------------------------------------------------------
# FatalError, code 1, "Poorly formed message header", IVI-6.1 Table 14.
fatal-poorly-formed       48530201000000000000000000000000  2   0x01  0x00000000  0

# Error, code 4, "Message too large", IVI-6.1 Table 16.
error-too-large           48530304000000000000000000000000  3   0x04  0x00000000  0

# --- locking -------------------------------------------------------------
# AsyncLock request, control code 1, timeout 5000 ms, 10-byte lock string.
async-lock-request        4853040100001388000000000000000a  4   0x01  0x00001388  10

# AsyncLock release, control code 0, parameter is the MessageID of the last
# sent message.
async-lock-release        48530400ffffff020000000000000000  4   0x00  0xffffff02  0

# --- interrupted ---------------------------------------------------------
interrupted               48530d00ffffff000000000000000000  13  0x00  0xffffff00  0
async-interrupted         48530e00000000000000000000000000  14  0x00  0x00000000  0

# --- vendor specific -----------------------------------------------------
# The GoTMC extension envelope, type 128, control code 0 for ExtHello, with an
# 8-byte payload. See the design specification §17.4.
vendor-ext-hello          48538000000000000000000000000008  128 0x00  0x00000000  8

# The top of the vendor-specific range.
vendor-max                4853ff00000000000000000000000000  255 0x00  0x00000000  0
